obj_id,ra,dec,filter,mjd,snr,instrument_id,instrument_name,ra_unc,dec_unc,origin,id,groups,altdata,mag,magerr,magsys,limiting_mag
ZTF19aadyppr,202.42674,47.18796,atlaso,58510.613705,11.078940864878872,72,ATLAS,,,None,205984205,"[255, 261, 280, 1, 239, 364, 41, 43, 51, 214, 215]",,18.042,0.098,ab,19.32
ZTF19aadyppr,202.42674,47.18796,atlaso,58554.55701,41.759084798389594,72,ATLAS,,,None,205984251,"[255, 261, 280, 1, 239, 364, 41, 43, 51, 214, 215]",,16.674,0.026,ab,19.45
ZTF19aadyppr,202.42674,47.18796,atlaso,58510.623415,10.857362047581292,72,ATLAS,,,None,205984206,"[255, 261, 280, 1, 239, 364, 41, 43, 51, 214, 215]",,18.04,0.1,ab,19.27
ZTF19aadyppr,202.42674,47.18796,atlaso,58558.541133,35.02374854058482,72,ATLAS,,,None,205984252,"[255, 261, 280, 1, 239, 364, 41, 43, 51, 214, 215]",,16.795,0.031000000000000003,ab,19.42
ZTF19aadyppr,202.42674,47.18796,atlaso,58558.556465,41.75908479838959,72,ATLAS,,,None,205984253,"[255, 261, 280, 1, 239, 364, 41, 43, 51, 214, 215]",,16.754,0.026,ab,19.47
ZTF19aadyppr,202.42674,47.18796,atlaso,58570.527283,31.933417787003805,72,ATLAS,,,None,205984272,"[255, 261, 280, 1, 239, 364, 41, 43, 51, 214, 215]",,16.835,0.034,ab,19.27
ZTF19aadyppr,202.42674,47.18796,atlaso,58510.624336,9.359794868604563,72,ATLAS,,,None,205984207,"[255, 261, 280, 1, 239, 364, 41, 43, 51, 214, 215]",,18.125,0.116,ab,19.28
ZTF19aadyppr,202.42674,47.18796,atlaso,58558.57514,41.759084798389594,72,ATLAS,,,None,205984254,"[255, 261, 280, 1, 239, 364, 41, 43, 51, 214, 215]",,16.701,0.026,ab,19.49
ZTF19aadyppr,202.42674,47.18796,atlaso,58558.576072,40.212452028078864,72,ATLAS,,,None,205984255,"[255, 261, 280, 1, 239, 364, 41, 43, 51, 214, 215]",,16.723,0.027000000000000003,ab,19.47
ZTF19aadyppr,202.42674,47.18796,atlaso,58562.473625,19.048003592247884,72,ATLAS,,,None,205984256,"[255, 261, 280, 1, 239, 364, 41, 43, 51, 214, 215]",,16.854,0.056999999999999995,ab,18.47
ZTF19aadyppr,202.42674,47.18796,atlaso,58562.481038,20.485588769021312,72,ATLAS,,,None,205984257,"[255, 261, 280, 1, 239, 364, 41, 43, 51, 214, 215]",,16.744,0.053,ab,18.38
ZTF19aadyppr,202.42674,47.18796,atlaso,58510.632712,12.063735608423663,72,ATLAS,,,None,205984208,"[255, 261, 280, 1, 239, 364, 41, 43, 51, 214, 215]",,18.107,0.08999999999999997,ab,19.3
ZTF19aadyppr,202.42674,47.18796,atlaso,58562.482419,19.38814651353802,72,ATLAS,,,None,205984258,"[255, 261, 280, 1, 239, 364, 41, 43, 51, 214, 215]",,16.747,0.056000000000000015,ab,18.35
ZTF19aadyppr,202.42674,47.18796,atlaso,58510.633171,7.811051832792297,72,ATLAS,,,None,205984209,"[255, 261, 280, 1, 239, 364, 41, 43, 51, 214, 215]",,18.329,0.139,ab,19.29
ZTF19aadyppr,202.42674,47.18796,atlaso,58562.489322,21.28894519133587,72,ATLAS,,,None,205984259,"[255, 261, 280, 1, 239, 364, 41, 43, 51, 214, 215]",,16.756,0.051,ab,18.4
ZTF19aadyppr,202.42674,47.18796,atlaso,58566.524936,,72,ATLAS,,,None,205984260,"[255, 261, 280, 1, 239, 364, 41, 43, 51, 214, 215]",,,,ab,14.65
ZTF19aadyppr,202.42674,47.18796,atlaso,58566.534916,,72,ATLAS,,,None,205984261,"[255, 261, 280, 1, 239, 364, 41, 43, 51, 214, 215]",,,,ab,16.16
ZTF19aadyppr,202.42674,47.18796,atlaso,58510.642074,7.436549347658421,72,ATLAS,,,None,205984210,"[255, 261, 280, 1, 239, 364, 41, 43, 51, 214, 215]",,18.413,0.146,ab,19.24
ZTF19aadyppr,202.42674,47.18796,atlaso,58566.536303,,72,ATLAS,,,None,205984262,"[255, 261, 280, 1, 239, 364, 41, 43, 51, 214, 215]",,,,ab,16.14
